episode_number,game_number,rank_after,rank_letter,result,rank_change,level_rating,vs_level,level_style
26,575,3493,A,Loss,-11,Like,No,SM3D
26,576,3476,A,Loss,-17,Meh,No,SM3DW
26,577,3462,A,Loss,-14,Unknown,No,SMW
26,578,3446,A,Loss,-16,Boo,No,NSMBU
26,579,3435,A,Loss,-11,Unknown,No,NSMBU
26,580,3417,A,Loss,-18,Unknown,No,SMB1
26,581,3459,A,Win,42,Like,No,NSMBU
26,582,3457,A,Loss,-2,Unknown,No,SM3DW
26,583,3446,A,Loss,-11,Unknown,No,NSMBU
26,584,3494,A,Win,48,Boo,No,SMW
26,585,3478,A,Loss,-16,Boo,No,SM3DW
26,586,3459,A,Loss,-19,Like,No,SMB3
26,587,3441,A,Loss,-18,Unknown,No,SM3DW
26,588,3488,A,Win,47,Unknown,No,SMB1
26,589,3476,A,Loss,-12,Unknown,No,NSMBU
26,590,3473,A,Loss,-3,Unknown,No,NSMBU
26,591,3455,A,Loss,-18,Unknown,No,SMB1
26,592,3452,A,Loss,-3,Boo,No,SMB1
26,593,3450,A,Loss,-2,Unknown,No,SMB1
26,594,3478,A,Win,28,Unknown,No,SMB1
26,595,3478,A,Draw,0,Boo,No,SMB1
27,596,3462,A,Loss,-16,Like,Yes,SM3D
27,597,3462,A,Draw,0,Unknown,No,SMW
27,598,3447,A,Loss,-15,Meh,No,NSMBU
27,599,3437,A,Loss,-10,Boo,No,SMW
27,600,3483,A,Win,46,Boo,No,SM3DW
27,601,3465,A,Loss,-18,Unknown,No,SMB1
27,602,3450,A,Loss,-15,Meh,Yes,SMB1
27,603,3435,A,Loss,-15,Unknown,No,SMB1
27,604,3419,A,Loss,-16,Unknown,No,SMW
27,605,3404,A,Loss,-15,Unknown,No,SMW
27,606,3401,A,Loss,-3,Unknown,No,SMB1
27,607,3386,A,Loss,-15,Boo,No,SM3DW
27,608,3369,A,Loss,-17,Unknown,No,SMB3
27,609,3408,A,Win,39,Like,Yes,SMB1
27,610,3405,A,Loss,-3,Boo,No,SMB1
27,611,3402,A,Loss,-3,Unknown,No,NSMBU
27,612,3446,A,Win,44,Boo,No,SM3DW
27,613,3443,A,Loss,-3,Unknown,No,SM3DW
27,614,3423,A,Loss,-20,Unknown,No,SM3DW
27,615,3460,A,Win,37,Unknown,No,SM3DW
27,616,3498,A,Win,38,Like,No,SMB3
27,617,3540,A,Win,42,Like,No,NSMBU
27,618,3527,A,Loss,-13,Like,No,NSMBU
28,619,3516,A,Loss,-11,Unknown,No,SMB
28,620,3501,A,Loss,-15,Like,No,SMB1
28,621,3489,A,Loss,-12,Like,No,SMB3
28,622,3476,A,Loss,-13,Like,No,SM3DW
28,623,3465,A,Loss,-11,Unknown,No,SM3DW
28,624,3504,A,Win,39,Like,No,SM3DW
28,625,3501,A,Loss,-3,Like,Yes,NSMBU
28,626,3485,A,Loss,-16,Boo,No,SMW
28,627,3518,A,Win,33,Like,Yes,SMW
28,628,3500,A,Loss,-18,Unknown,No,SM3DW
28,629,3551,A,Win,51,Like,No,NSMBU
28,630,3599,A,Win,48,Boo,No,NSMBU
28,631,3636,A,Win,37,Boo,No,NSMBU
28,632,3623,A,Loss,-13,Unknown,Yes,SMB1
28,633,3663,A,Win,40,Like,No,SM3DW
28,634,3651,A,Loss,-12,Unknown,No,SMB1
28,635,3685,A,Win,34,Unknown,No,NSMBU
28,636,3671,A,Loss,-14,Unknown,No,SMB1
28,637,3709,A,Win,38,Like,No,SM3DW
28,638,3705,A,Loss,-4,Like,Yes,SMB1
29,639,3687,A,Loss,-18,Boo,No,NSMB
29,640,3667,A,Loss,-20,Unknown,Yes,NSMBU
29,641,3650,A,Loss,-17,Boo,No,SM3DW
29,642,3689,A,Win,39,Unknown,No,SMW
29,643,3671,A,Loss,-18,Unknown,No,SMB3
29,644,3710,A,Win,39,Like,No,SMB3
29,645,3750,A,Win,40,Like,Yes,SMB1
29,646,3732,A,Loss,-18,Boo,No,SM3DW
29,647,3719,A,Loss,-13,Unknown,No,NSMBU
29,648,3703,A,Loss,-16,None,No,NSMBU
29,649,3687,A,Loss,-16,Unknown,No,SMB3
29,650,3671,A,Loss,-16,Unknown,No,SMW
29,651,3723,A,Win,52,Like,Yes,SMB1
29,652,3711,A,Loss,-12,Unknown,No,NSMBU
29,653,3707,A,Loss,-4,Meh,No,NSMBU
29,654,3694,A,Loss,-13,Unknown,No,NSMBU
29,655,3682,A,Loss,-12,Unknown,No,SMW
29,656,3669,A,Loss,-13,Unknown,No,SMW
29,657,3654,A,Loss,-15,Unknown,No,NSMBU
29,658,3651,A,Loss,-3,Unknown,No,SMB1
29,659,3638,A,Loss,-13,Unknown,No,SMW
29,660,3629,A,Loss,-9,Unknown,No,SMB1
29,661,3617,A,Loss,-12,Unknown,No,NSMBU
29,662,3602,A,Loss,-15,Unknown,No,SMW
29,663,3599,A,Loss,-3,Boo,No,SMB1
29,664,3596,A,Loss,-3,Unknown,No,NSMBU
29,665,3580,A,Loss,-16,Unknown,Yes,NSMBU
29,666,3551,A,Loss,-29,None,No,SM3DW
29,667,3540,A,Loss,-11,Unknown,No,SM3DW
29,668,3538,A,Loss,-2,Unknown,No,NSMBU
29,669,3525,A,Loss,-13,Meh,No,SMW
29,670,3562,A,Win,37,Unknown,No,SMW
29,671,3559,A,Loss,-3,Boo,No,SM3DW
29,672,3547,A,Loss,-12,Boo,No,NSMBU
29,673,3534,A,Loss,-13,Unknown,No,NSMBU
29,674,3576,A,Win,42,Unknown,No,SM3DW
29,675,3559,A,Loss,-17,Like,Yes,SMW
29,676,3548,A,Loss,-11,Unknown,No,SMB1
29,677,3532,A,Loss,-16,Like,No,SMB3
29,678,3572,A,Win,40,Unknown,No,SMB3
29,679,3554,A,Loss,-18,Unknown,No,SMW
29,680,3538,A,Loss,-16,Like,No,SM3DW
29,681,3525,A,Loss,-13,Unknown,No,NSMBU
29,682,3523,A,Loss,-2,Like,Yes,SM3DW
29,683,3520,A,Loss,-3,Like,No,SM3DW
29,684,3508,A,Loss,-12,Unknown,No,SMW
29,685,3505,A,Loss,-3,Unknown,Yes,SMB1
29,686,3491,A,Loss,-14,Unknown,No,SMW
29,687,3531,A,Win,40,Like,No,SMW
30,688,3518,A,Loss,-13,Like,Yes,SMB
30,689,3506,A,Loss,-12,Like,Yes,SMB1
30,690,3551,A,Loss,45,Like,No,SM3DW
30,691,3536,A,Loss,-15,Boo,No,SMW
30,692,3520,A,Loss,-16,Like,No,SM3DW
30,693,3564,A,Win,44,Unknown,Yes,SMW
30,694,3612,A,Win,48,Unknown,No,SMB3
30,695,3606,A,Loss,-6,Boo,No,SMB1
30,696,3603,A,Loss,-3,None,No,NSMBU
30,697,3586,A,Loss,-17,Boo,No,SMB1
30,698,3629,A,Win,43,Like,No,SM3DW
30,699,3675,A,Win,46,Like,No,NSMBU
30,700,3672,A,Loss,-3,Boo,No,SM3DW
30,701,3660,A,Loss,-12,Unknown,No,SMB1
30,702,3647,A,Loss,-13,Unknown,No,SMW
30,703,3634,A,Loss,-13,Unknown,No,NSMBU
30,704,3631,A,Loss,-3,Unknown,No,SM3DW
30,705,3617,A,Loss,-14,LIke,No,SMB1
30,706,3603,A,Loss,-14,Meh,No,SM3DW
30,707,3653,A,Win,50,Boo,No,SM3DW
30,708,3638,A,Loss,-15,Like,No,NSMBU
30,709,3624,A,Loss,-14,Like,No,SM3DW
30,710,3608,A,Loss,-16,Boo,No,NSMBU
30,711,3604,A,Loss,-4,Like,No,NSMBU
30,712,3589,A,Loss,-15,Unknown,No,NSMBU
30,713,3587,A,Loss,-2,Unknown,Yes,SM3DW
30,714,3584,A,Loss,-3,Unknown,No,SMB1
30,715,3567,A,Loss,-17,Unknown,No,SM3DW
30,716,3560,A,Loss,-7,Unknown,Yes,SMB1
30,717,3610,A,Win,50,Boo,No,SM3DW
30,718,3606,A,Loss,-4,Like,Yes,SM3DW
31,719,3653,A,Win,47,Boo,No,SMB
31,720,3643,A,Loss,-10,Like,Yes,NSMBU
31,721,3629,A,Loss,-14,Unknown,No,SMB1
31,722,3675,A,Win,46,Unknown,No,SM3DW
31,723,3659,A,Loss,-16,Meh,No,SM3DW
31,724,3641,A,Loss,-18,Like,No,NSMBU
31,725,3682,A,Win,41,Like,No,SM3DW
31,726,3667,A,Loss,-15,Meh,No,SM3DW
31,727,3664,A,Loss,-3,Boo,No,SMB1
31,728,3706,A,Win,42,Boo,No,SM3DW
31,729,3689,A,Loss,-17,Like,Yes,NSMBU
31,730,3673,A,Loss,-16,Like,No,NSMBU
31,731,3727,A,Win,54,Boo,No,SMB1
31,732,3711,A,Loss,-16,Unknown,No,SMB3
31,733,3746,A,Win,35,Unknown,No,SM3DW
31,734,3788,A,Win,42,Like,No,SMW
31,735,3772,A,Loss,-16,Like,No,SM3DW
31,736,3756,A,Loss,-16,Unknown,No,NSMBU
31,737,3791,A,Win,35,Boo,No,NSMBU
31,738,3778,A,Loss,-13,Boo,No,NSMBU
31,739,3765,A,Loss,-13,Like,Yes,SMW
31,740,3806,A,Win,41,Like,No,NSMBU
31,741,3793,A,Loss,-13,Like,No,NSMBU
31,742,3775,A,Loss,-18,Unknown,No,NSMBU
31,743,3760,A,Loss,-15,Unknown,No,SMW
31,744,3745,A,Loss,-15,Unknown,No,SMB3
31,745,3729,A,Loss,-16,Unknown,Yes,SM3DW
