episode_number,game_number,rank_after,rank_letter,result,rank_change,level_rating,vs_level,level_style
1,1,50,D,Win,50,Boo,No,SMB3
1,2,152,D,Win,102,Boo,No,SM3DW
1,3,151,D,Loss,-1,Like,No,SM3DW
1,4,303,D,Win,152,Like,No,NSMBU
1,5,449,D,Win,146,Meh,No,SMB1
1,6,448,D,Loss,-1,Meh,No,SM3DW
1,7,590,D,Win,142,Like,Yes,SM3DW
1,8,731,D,Win,141,Like,Yes,SM3DW
1,9,725,D,Loss,-6,Boo,No,NSMBU
1,10,725,D,Loss,0,Boo,No,SM3DW
1,11,720,D,Loss,-5,Like,No,NSMBU
1,12,716,D,Loss,-4,Meh,No,SMB1
1,13,815,D,Win,99,Meh,No,SM3DW
1,14,859,D,Win,44,Like,No,SMB3
1,15,853,D,Loss,-6,Like,No,SM3DW
1,16,987,D,Win,134,None,No,SMB1
1,17,1107,C,Win,120,Like,Yes,SMB1
2,18,1091,C,Loss,-16,Meh,No,NSMB
2,19,1206,C,Win,115,Meh,No,NSMBU
2,20,1194,C,Loss,-12,Boo,No,SM3DW
2,21,1179,C,Loss,-15,Like,No,NSMBU
2,22,1176,C,Loss,-3,Boo,No,SMB1
2,23,1163,C,Loss,-13,Boo,No,NSMBU
2,24,1289,C,Win,126,Boo,No,SM3DW
2,25,1276,C,Loss,-13,Meh,No,SMW
2,26,1276,C,Draw,0,Meh,No,SMB1
2,27,1261,C,Loss,-15,Like,No,SMW
2,28,1247,C,Loss,-14,Like,Yes,SMB3
2,29,1372,C,Win,125,Boo,No,SM3DW
2,30,1488,C,Win,116,Like,No,NSMBU
3,31,1472,C,Loss,-16,Boo,No,SMB
3,32,1456,C,Loss,-16,Like,No,SMW
3,33,1443,C,Loss,-13,Boo,No,SM3DW
3,34,1431,C,Loss,-12,Meh,No,SM3DW
3,35,1571,C,Win,140,Meh,No,NSMBU
3,36,1558,C,Loss,-13,Boo,No,SM3DW
3,37,1543,C,Loss,-15,Like,No,SM3DW
3,38,1650,C,Win,107,Boo,No,SMW
3,39,1764,C,Win,114,Boo,No,SM3DW
3,40,1761,C,Loss,-3,Boo,No,SM3DW
3,41,1746,C,Loss,-15,None,Yes,SMB3
3,42,1880,C,Win,134,Meh,No,SM3DW
3,43,1983,C,Win,103,Like,No,SM3DW
3,44,1968,C,Loss,-15,Like,No,SM3DW
3,45,1955,C,Loss,-13,Boo,Yes,NSMBU
3,46,2061,B,Win,106,Like,No,SMW
4,47,2040,B,Loss,-21,Like,No,SM
4,48,2106,B,Win,66,Meh,No,SMB1
4,49,2171,B,Win,65,Like,No,NSMBU
4,50,2151,B,Loss,-20,Boo,No,SM3DW
4,51,2203,B,Win,52,Like,No,NSMBU
4,52,2187,B,Loss,-18,Like,No,NSMBU
4,53,2169,B,Loss,-18,Boo,No,SMB1
4,54,2232,B,Win,63,Like,No,SMB1
4,55,2294,B,Win,62,Like,No,SM3DW
4,56,2279,B,Loss,-15,Boo,No,SMW
4,57,2264,B,Loss,-15,None,No,NSMBU
4,58,2261,B,Loss,-3,Meh,No,SM3DW
4,59,2244,B,Loss,-17,Boo,No,SMB1
4,60,2228,B,Loss,-16,Meh,No,SMB3
4,61,2211,B,Loss,-17,Meh,No,SM3DW
4,62,2268,B,Win,57,Like,Yes,NSMBU
4,63,2265,B,Loss,-3,Boo,No,SM3DW
4,64,2330,B,Win,65,None,No,NSMBU
5,65,2310,B,Loss,-20,Unknown,Unknown,Unknown
5,66,2296,B,Loss,-14,None,No,SMB1
5,67,2283,B,Loss,-13,None,No,SMB3
5,68,2269,B,Loss,-14,Like,No,SMW
5,69,2334,B,Win,65,None,No,SM3DW
5,70,2394,B,Win,60,Like,No,SMW
5,71,2376,B,Loss,-18,Like,No,SMW
5,72,2359,B,Loss,-17,Boo,No,SMB1
5,73,2428,B,Win,69,Boo,No,SMB1
5,74,2424,B,Loss,-4,Boo,No,SMB1
5,75,2405,B,Loss,-19,None,No,SM3DW
5,76,2464,B,Win,59,None,No,NSMBU
5,77,2445,B,Loss,-19,Like,No,SMB3
5,78,2430,B,Loss,-15,None,No,SMB1
5,79,2480,B,Win,50,Meh,No,SM3DW
5,80,2550,B,Win,70,Like,No,SMB3
5,81,2531,B,Loss,-19,Boo,No,SMW
5,82,2514,B,Loss,-17,Boo,No,SM3DW
5,83,2510,B,Loss,-4,Meh,No,SM3DW
5,84,2507,B,Loss,-3,Boo,No,SM3DW
5,85,2488,B,Loss,-19,Boo,No,SMB3
5,86,2472,B,Loss,-16,Boo,No,SMW
5,87,2458,B,Loss,-14,Meh,No,SMB1
5,88,2528,B,Win,70,Boo,No,NSMBU
6,89,2509,B,Loss,-19,Like,No,SM
6,90,2490,B,Loss,-19,Boo,No,NSMBU
6,91,2488,B,Loss,-2,Boo,No,SM3DW
6,92,2468,B,Loss,-20,Like,No,SMB3
6,93,2447,B,Loss,-21,Meh,Yes,SMW
6,94,2429,B,Loss,-18,Like,No,NSMBU
6,95,2412,B,Loss,-17,Meh,No,SM3DW
6,96,2397,B,Loss,-15,Like,No,NSMBU
6,97,2455,B,Win,58,Boo,No,SMB1
6,98,2451,B,Loss,-4,Boo,No,NSMBU
6,99,2447,B,Loss,-4,Boo,No,SM3DW
6,100,2444,B,Loss,-3,Meh,No,SM3DW
6,101,2423,B,Loss,-21,Meh,No,SMW
6,102,2407,B,Loss,-16,Boo,No,SMB1
6,103,2472,B,Win,65,Meh,No,SM3DW
6,104,2472,B,Draw,0,Boo,No,SMB1
6,105,2452,B,Loss,-20,Boo,No,SM3DW
6,106,2509,B,Win,57,Like,Yes,NSMBU
6,107,2494,B,Loss,-15,None,No,SMW
7,108,2475,B,Loss,-19,Boo,No,NSMB
7,109,2472,B,Loss,-3,Meh,No,SM3DW
7,110,2455,B,Loss,-17,None,No,SM3DW
7,111,2452,B,Loss,-3,Boo,No,SMB1
7,112,2434,B,Loss,-18,Meh,No,SMB3
7,113,2420,B,Loss,-14,Like,Yes,SMB3
7,114,2406,B,Loss,-14,Meh,No,NSMBU
7,115,2391,B,Loss,-15,Meh,No,SMW
7,116,2369,B,Loss,-22,Boo,No,NSMBU
7,117,2367,B,Loss,-2,Meh,Yes,SM3DW
7,118,2351,B,Loss,-16,Meh,No,SMB1
7,119,2419,B,Win,68,Meh,No,SM3DW
7,120,2477,B,Win,58,Like,No,SMB3
7,121,2463,B,Loss,-14,Boo,No,SMB1
7,122,2528,B,Win,65,Like,No,SMB1
7,123,2510,B,Loss,-18,Boo,No,SM3DW
7,124,2507,B,Loss,-3,Boo,No,SM3DW
7,125,2568,B,Win,61,Like,No,SM3DW
8,126,2552,B,Loss,-16,Like,No,SMB
8,127,2548,B,Loss,-4,Boo,No,SMB1
8,128,2600,B,Win,52,Boo,No,SM3DW
8,129,2582,B,Loss,-18,Like,No,SM3DW
8,130,2582,B,Draw,0,Meh,No,NSMBU
8,131,2582,B,Draw,0,Like,No,SMB3
8,132,2567,B,Loss,-15,Meh,No,SM3DW
8,133,2634,B,Win,67,Like,No,SM3DW
8,134,2618,B,Loss,-16,Boo,Yes,SMW
8,135,2601,B,Loss,-17,Boo,No,SMB3
8,136,2587,B,Loss,-14,Meh,Yes,NSMBU
8,137,2567,B,Loss,-20,None,Yes,SMW
8,138,2552,B,Loss,-15,Boo,No,SM3DW
8,139,2534,B,Loss,-18,Meh,No,SM3DW
8,140,2587,B,Win,53,Like,No,SMB1
8,141,2571,B,Loss,-16,Meh,No,SMB1
8,142,2632,B,Win,61,Meh,No,SMW
8,143,2622,B,Loss,-10,Like,No,SMB1
9,144,2618,B,Loss,-4,Boo,No,SMB
9,145,2599,B,Loss,-19,Meh,No,NSMBU
9,146,2656,B,Win,57,Like,No,SMB1
9,147,2653,B,Loss,-3,Boo,No,NSMBU
9,148,2638,B,Loss,-15,Meh,No,SM3DW
9,149,2635,B,Loss,-3,Meh,No,NSMBU
9,150,2703,B,Win,68,Meh,No,NSMBU
9,151,2766,B,Win,63,Like,No,NSMBU
9,152,2817,B,Win,51,Like,No,SMW
9,153,2801,B,Loss,-16,Like,No,NSMBU
9,154,2862,B,Win,61,Meh,Yes,SM3DW
9,155,2845,B,Loss,-17,Meh,No,NSMBU
9,156,2827,B,Loss,-18,Meh,No,SMW
9,157,2812,B,Loss,-15,Boo,No,NSMBU
9,158,2881,B,Win,69,Like,No,SM3DW
10,159,2865,B,Loss,-16,Like,Yes,SM3D
10,160,2851,B,Loss,-14,Meh,Yes,SMW
10,161,2848,B,Loss,-3,Boo,No,SM3DW
10,162,2828,B,Loss,-20,Like,No,NSMBU
10,163,2825,B,Loss,-3,Meh,No,SM3DW
10,164,2811,B,Loss,-14,Meh,No,SM3DW
10,165,2873,B,Win,62,Like,No,NSMBU
10,166,2856,B,Loss,-17,Meh,No,SMW
10,167,2853,B,Loss,-3,Like,Yes,SMB1
10,168,2838,B,Loss,-15,Like,No,SMB1
10,169,2836,B,Loss,-2,Like,No,SMB1
10,170,2896,B,Win,60,Meh,No,NSMBU
10,171,2941,B,Win,45,Boo,Yes,SMW
10,172,2920,B,Loss,-21,Boo,No,NSMBU
10,173,2901,B,Loss,-19,Like,No,SMW
10,174,2898,B,Loss,-3,Meh,No,SM3DW
10,175,2967,B,Win,69,Meh,No,SMB3
10,176,2953,B,Loss,-14,Boo,No,NSMBU
10,177,2953,B,Draw,0,Meh,No,SMW
10,178,2933,B,Loss,-20,Meh,No,SMB3
10,179,2919,B,Loss,-14,Meh,No,NSMBU
10,180,2901,B,Loss,-18,None,No,SM3DW
10,181,2880,B,Loss,-21,Boo,Yes,NSMBU
10,182,2863,B,Loss,-17,Meh,No,NSMBU
10,183,2859,B,Loss,-4,Meh,No,SM3DW
10,184,2847,B,Loss,-12,Meh,No,SM3DW
10,185,2829,B,Loss,-18,Boo,No,SMB3
10,186,2825,B,Loss,-4,Boo,No,NSMBU
11,187,2897,B,Win,72,Boo,No,SMB
11,188,2893,B,Loss,-4,Boo,No,NSMBU
11,189,2876,B,Loss,-17,Boo,No,SMW
11,190,2859,B,Loss,-17,Boo,No,SM3DW
11,191,2919,B,Win,60,Boo,No,SM3DW
11,192,2977,B,Win,58,Like,No,SMW
11,193,2964,B,Loss,-13,Meh,No,NSMBU
11,194,2947,B,Loss,-17,Meh,No,NSMBU
11,195,2931,B,Loss,-16,Like,No,SMW
11,196,2996,B,Win,65,Like,Yes,SMB1
11,197,2996,B,Draw,0,Boo,No,SMB3
11,198,2980,B,Loss,-16,Like,No,SM3DW
11,199,3045,A,Win,65,Like,No,SMB1
12,200,3029,A,Loss,-16,Like,Yes,SM
12,201,3014,A,Loss,-15,Boo,No,SMW
12,202,3003,A,Loss,-11,Meh,No,NSMBU
12,203,2993,B,Loss,-10,None,Yes,SM3DW
12,204,2978,B,Loss,-15,Boo,No,SMB3
12,205,2962,B,Loss,-16,Boo,No,NSMBU
12,206,2947,B,Loss,-15,Boo,Yes,NSMBU
12,207,2943,B,Loss,-4,Boo,No,NSMBU
12,208,2929,B,Loss,-14,Boo,No,SMB1
12,209,2925,B,Loss,-4,None,No,SMB1
12,210,2913,B,Loss,-12,Like,No,SM3DW
12,211,2895,B,Loss,-18,Like,No,NSMBU
12,212,2878,B,Loss,-17,Boo,No,NSMBU
12,213,2862,B,Loss,-16,Like,No,NSMBU
12,214,2925,B,Win,63,Boo,No,SMW
12,215,2984,B,Win,59,Boo,No,SMW
12,216,2970,B,Loss,-14,None,Yes,SM3DW
12,217,2950,B,Loss,-20,Boo,No,NSMBU
12,218,2950,B,Draw,0,Boo,No,NSMBU
12,219,2933,B,Loss,-17,Like,No,SM3DW
12,220,2919,B,Loss,-14,Like,Yes,NSMBU
12,221,2898,B,Loss,-21,Boo,No,SM3DW
12,222,2894,B,Loss,-4,Meh,No,SM3DW
12,223,2890,B,Loss,-4,Boo,No,SMB1
12,224,2958,B,Win,68,Meh,No,NSMBU
12,225,2942,B,Loss,-16,Like,No,NSMBU
12,226,2925,B,Loss,-17,Boo,No,NSMBU
12,227,2907,B,Loss,-18,Boo,No,SMW
13,228,2984,B,Win,77,Boo,No,SM3D
13,229,2965,B,Loss,-19,Boo,No,SMW
13,230,2962,B,Loss,-3,Unknown,No,SMB1
13,231,2946,B,Loss,-16,None,Yes,SMB1
13,232,2929,B,Loss,-17,Like,No,NSMBU
13,233,2929,B,Draw,0,Unknown,No,SM3DW
13,234,2911,B,Loss,-18,Unknown,No,SMW
13,235,2893,B,Loss,-18,Like,No,SMB3
13,236,2878,B,Loss,-15,Unknown,No,SMW
13,237,2862,B,Loss,-16,Boo,No,SM3DW
13,238,2848,B,Loss,-14,Meh,No,SM3DW
13,239,2914,B,Win,66,Like,Yes,SM3DW
13,240,2911,B,Loss,-3,Boo,Yes,SM3DW
13,241,2895,B,Loss,-16,Like,No,NSMBU
13,242,2953,B,Win,58,Like,Yes,SMB1
13,243,2933,B,Loss,-20,Like,No,NSMBU
13,244,2915,B,Loss,-18,Unknown,No,NSMBU
13,245,2898,B,Loss,-17,Like,No,NSMBU
13,246,2896,B,Loss,-2,Like,Yes,SMB1
13,247,2892,B,Loss,-4,Unknown,No,SM3DW
13,248,2876,B,Loss,-16,Like,No,NSMBU
13,249,2858,B,Loss,-18,Unknown,No,SM3DW
13,250,2841,B,Loss,-17,Boo,No,NSMBU
13,251,2838,B,Loss,-3,Unknown,No,NSMBU
13,252,2825,B,Loss,-13,Unknown,No,SMB1
13,253,2825,B,Draw,0,Unknown,No,SMB1
13,254,2811,B,Loss,-14,Like,No,SMB3
13,255,2794,B,Loss,-17,Like,No,SM3DW
14,256,2847,B,Win,53,Unknown,No,SM3D
14,257,2838,B,Loss,-9,Unknown,No,SMW
14,258,2822,B,Loss,-16,None,No,SMB3
14,259,2818,B,Loss,-4,Unknown,No,SM3DW
14,260,2802,B,Loss,-16,Unknown,No,SM3DW
14,261,2789,B,Loss,-13,Unknown,No,SM3DW
14,262,2786,B,Loss,-3,Unknown,No,NSMBU
14,263,2771,B,Loss,-15,Unknown,No,SMW
14,264,2754,B,Loss,-17,Unknown,No,SM3DW
14,265,2818,B,Win,64,Like,No,NSMBU
14,266,2798,B,Loss,-20,Boo,Yes,SMW
14,267,2786,B,Loss,-12,Unknown,No,NSMBU
14,268,2768,B,Loss,-18,Unknown,No,NSMBU
14,269,2766,B,Loss,-2,Unknown,No,SM3DW
14,270,2753,B,Loss,-13,None,Yes,NSMBU
14,271,2732,B,Loss,-21,Unknown,Yes,NSMBU
14,272,2711,B,Loss,-21,Boo,No,NSMBU
14,273,2772,B,Win,61,Like,No,SMB1
14,274,2768,B,Loss,-4,Unknown,No,SMB1
14,275,2836,B,Win,69,Like,No,NSMBU
14,276,2820,B,Loss,-16,Boo,No,SMB1
14,277,2886,B,Win,66,Unknown,No,NSMBU
14,278,2882,B,Loss,-4,Unknown,No,SM3DW
14,279,2861,B,Loss,-21,Like,No,NSMBU
14,280,2845,B,Loss,-16,Unknown,No,SM3DW
14,281,2842,B,Loss,-3,Unknown,No,SMB1
14,282,2842,B,Draw,0,Unknown,No,NSMBU
14,283,2825,B,Loss,-17,Unknown,No,NSMBU
14,284,2806,B,Loss,-19,Meh,No,SM3DW
14,285,2866,B,Win,60,Like,No,NSMBU
14,286,2847,B,Loss,-19,Boo,No,NSMBU
14,287,2900,B,Win,53,Unknown,No,SMB1
14,288,2953,B,Win,53,Boo,No,NSMBU
14,289,3003,A,Win,50,Unknown,No,SM3DW
14,290,3049,A,Win,46,Unknown,No,SM3DW
14,291,3035,A,Loss,-14,Unknown,No,SM3DW
14,292,3024,A,Loss,-11,Meh,No,SMW
15,293,3013,A,Loss,-11,Boo,No,SM3D
15,294,2999,B,Loss,-14,Like,Yes,SMW
15,295,2982,B,Loss,-17,Like,No,SM3DW
15,296,2965,B,Loss,-17,Unknown,No,NSMBU
15,297,2951,B,Loss,-14,Unknown,No,SMW
15,298,2933,B,Loss,-18,Boo,No,SMB3
15,299,2931,B,Loss,-2,Unknown,No,SM3DW
15,300,2997,B,Win,66,Unknown,Yes,SMW
15,301,2994,B,Loss,-3,Boo,No,SM3DW
15,302,2968,B,Loss,-26,None,No,SMB3
15,303,2951,B,Loss,-17,Like,No,NSMBU
15,304,2934,B,Loss,-17,Boo,No,SMB3
15,305,2931,B,Loss,-3,Boo,No,SMB1
15,306,2911,B,Loss,-20,Unknown,No,SMW
15,307,2968,B,Win,57,Unknown,No,NSMBU
15,308,2964,B,Loss,-4,Unknown,No,SM3DW
15,309,2950,B,Loss,-14,Unknown,No,SM3DW
15,310,2933,B,Loss,-17,Boo,No,SMW
15,311,2918,B,Loss,-15,Meh,No,NSMBU
15,312,2970,B,Win,52,None,No,NSMBU
16,313,3032,A,Win,62,Like,No,SMB
16,314,3029,A,Loss,-3,Like,No,NSMBU
16,315,3016,A,Loss,-13,Unknown,No,NSMBU
16,316,3005,A,Loss,-11,Unknown,No,SM3DW
16,317,2992,B,Loss,-13,Unknown,No,NSMBU
16,318,2975,B,Loss,-17,Boo,No,SMW
16,319,2961,B,Loss,-14,Meh,No,SM3DW
16,320,2958,B,Loss,-3,Boo,No,NSMBU
16,321,2939,B,Loss,-20,Boo,No,SMW
16,322,2919,B,Loss,-19,Boo,No,NSMBU
16,323,2905,B,Loss,-14,Meh,No,SMB3
16,324,2885,B,Loss,-20,Unknown,No,NSMBU
16,325,2869,B,Loss,-16,Unknown,No,SM3DW
16,326,2935,B,Win,66,Like,No,SM3DW
16,327,2921,B,Loss,-14,Meh,No,NSMBU
16,328,2903,B,Loss,-18,Like,No,SM3DW
16,329,2965,B,Win,62,Like,No,SM3DW
16,330,2944,B,Loss,-21,Boo,No,SMW
16,331,2928,B,Loss,-16,Unknown,No,SMB1
16,332,2928,B,Draw,0,Unknown,Unknown,Unknown
16,333,2928,B,Draw,0,Unknown,Unknown,Unknown
16,334,2986,B,Win,58,Boo,No,SM3DW
17,335,2968,B,Loss,-18,Boo,No,NSMB
17,336,2947,B,Loss,-21,Unknown,No,SMW
17,337,2933,B,Loss,-14,Meh,No,SM3DW
17,338,2915,B,Loss,-18,Boo,No,SMB3
17,339,2898,B,Loss,-17,Boo,No,SMB1
17,340,2883,B,Loss,-15,Unknown,No,SMB1
17,341,2881,B,Loss,-2,Boo,Yes,SM3DW
17,342,2878,B,Loss,-3,Unknown,No,NSMBU
17,343,2863,B,Loss,-15,Boo,No,NSMBU
17,344,2844,B,Loss,-19,Unknown,Yes,SMB1
17,345,2896,B,Win,52,Boo,No,SM3DW
17,346,2880,B,Loss,-16,Boo,No,NSMBU
17,347,2948,B,Win,68,Boo,No,SM3DW
17,348,2932,B,Loss,-16,Unknown,Yes,NSMBU
17,349,2912,B,Loss,-20,Boo,No,SMB3
17,350,2892,B,Loss,-20,Unknown,No,SMB1
17,351,2879,B,Loss,-13,Like,Yes,NSMBU
17,352,2863,B,Loss,-16,Boo,No,SMB1
17,353,2844,B,Loss,-19,Boo,No,SMW
17,354,2832,B,Loss,-12,Like,No,SMB1
17,355,2897,B,Win,65,Like,No,NSMBU
18,356,2949,B,Win,52,Unknown,Yes,NSMB
18,357,2949,B,Draw,0,Boo,No,SM3DW
18,358,3012,A,Win,63,Unknown,No,NSMBU
18,359,3064,A,Win,52,Meh,No,SM3DW
18,360,3109,A,Win,45,Boo,No,NSMBU
18,361,3096,A,Loss,-13,None,Yes,SMB1
18,362,3081,A,Loss,-15,Unknown,No,SMB3
18,363,3067,A,Loss,-14,Unknown,No,NSMBU
18,364,3053,A,Loss,-14,None,Yes,SMW
18,365,3097,A,Win,44,Like,No,NSMBU
18,366,3151,A,Win,54,Like,No,SMB3
18,367,3197,A,Win,46,Boo,Yes,SMB1
18,368,3235,A,Win,38,Meh,No,SMW
18,369,3218,A,Loss,-17,Unknown,No,NSMBU
18,370,3266,A,Win,48,Meh,No,SMB1
18,371,3316,A,Win,50,Like,No,SMW
18,372,3313,A,Loss,-3,Like,No,NSMBU
19,373,3363,A,Win,50,Like,No,SMB
19,374,3351,A,Loss,-12,Boo,No,SMW
19,375,3333,A,Loss,-18,Boo,No,NSMBU
19,376,3319,A,Loss,-14,Unknown,No,SMB3
19,377,3305,A,Loss,-14,Like,No,SMB1
19,378,3292,A,Loss,-13,Like,No,SMW
19,379,3277,A,Loss,-15,Boo,No,SMB1
19,380,3266,A,Loss,-11,Unknown,No,NSMBU
19,381,3311,A,Win,45,Unknown,No,SM3DW
19,382,3309,A,Loss,-2,Unknown,No,NSMBU
19,383,3293,A,Loss,-16,None,Yes,SMB1
19,384,3290,A,Loss,-3,Boo,No,SMB1
19,385,3274,A,Loss,-16,Unknown,No,NSMBU
19,386,3321,A,Win,47,Like,No,SMB3
19,387,3308,A,Loss,-13,Boo,No,SMB3
19,388,3352,A,Win,44,Unknown,No,NSMBU
19,389,3392,A,Win,40,Boo,No,NSMBU
19,390,3376,A,Loss,-16,Unknown,No,NSMBU
19,391,3419,A,Win,43,Like,No,NSMBU
20,392,3405,A,Loss,-14,Unknown,Unknown,Unknown
20,393,3447,A,Win,42,Like,No,SMW
20,394,3431,A,Loss,-16,Like,No,SMB3
20,395,3428,A,Loss,-3,Unknown,No,SM3DW
20,396,3416,A,Loss,-12,Like,No,SMW
20,397,3414,A,Loss,-2,Meh,No,SMB1
20,398,3397,A,Loss,-17,Like,No,SMB3
20,399,3441,A,Win,44,Like,Yes,NSMBU
20,400,3429,A,Loss,-12,Unknown,No,SMW
20,401,3477,A,Win,48,Like,Yes,NSMBU
20,402,3462,A,Loss,-15,Unknown,No,SM3DW
20,403,3446,A,Loss,-16,Boo,No,NSMBU
20,404,3444,A,Loss,-2,Like,No,NSMBU
20,405,3429,A,Loss,-15,Like,No,NSMBU
20,406,3414,A,Loss,-15,Unknown,No,SMB1
20,407,3400,A,Loss,-14,Boo,No,SMB3
20,408,3389,A,Loss,-11,Unknown,No,SM3DW
20,409,3389,A,Draw,0,Boo,No,SMW
20,410,3433,A,Win,44,Like,Yes,SMB3
20,411,3433,A,Draw,0,Boo,No,NSMBU
20,412,3419,A,Loss,-14,Unknown,No,SMW
20,413,3401,A,Loss,-18,Like,Yes,SMB1
20,414,3385,A,Loss,-16,Boo,No,SMW
20,415,3382,A,Loss,-3,Unknown,No,SMB1
20,416,3379,A,Loss,-3,Unknown,No,SM3DW
20,417,3366,A,Loss,-16,Unknown,No,SMB3
20,418,3348,A,Loss,-15,Like,No,SM3DW
20,419,3334,A,Loss,-14,Boo,No,NSMBU
20,420,3318,A,Loss,-16,Like,No,NSMBU
20,421,3306,A,Loss,-12,Like,No,SMB1
21,422,3350,A,Win,44,Like,No,SMB
21,423,3334,A,Loss,-16,Meh,No,SMW
21,424,3318,A,Loss,-16,Meh,No,NSMBU
21,425,3302,A,Loss,-16,Unknown,No,NSMBU
21,426,3290,A,Loss,-12,Like,No,SM3DW
21,427,3277,A,Loss,-13,Like,No,SM3DW
21,428,3323,A,Win,46,Like,No,NSMBU
21,429,3308,A,Loss,-15,Boo,No,SM3DW
21,430,3291,A,Loss,-17,Boo,No,SM3DW
21,431,3274,A,Loss,-17,Like,No,SMW
21,432,3260,A,Loss,-14,None,Yes,SMB1
21,433,3247,A,Loss,-13,Unknown,Yes,NSMBU
21,434,3280,A,Win,33,Meh,No,SM3DW
21,435,3268,A,Loss,-12,Boo,No,SM3DW
21,436,3252,A,Loss,-16,Unknown,No,SMW
21,437,3296,A,Win,44,Unknown,No,SMB3
21,438,3281,A,Loss,-15,Unknown,No,NSMBU
21,439,3278,A,Loss,-3,Like,No,NSMBU
21,440,3327,A,Win,49,Like,No,NSMBU
21,441,3380,A,Win,53,Like,No,SM3DW
21,442,3369,A,Loss,-11,Unknown,No,SMB1
21,443,3421,A,Win,52,Like,No,SMB3
21,444,3408,A,Loss,-13,Like,No,SMB1
21,445,3406,A,Loss,-2,Unknown,No,SM3DW
21,446,3403,A,Loss,-3,Meh,Yes,SM3DW
21,447,3388,A,Loss,-15,Unknown,No,NSMBU
21,448,3375,A,Loss,-13,Unknown,No,NSMBU
21,449,3359,A,Loss,-16,Boo,No,SMW
21,450,3401,A,Win,42,Like,No,NSMBU
21,451,3398,A,Loss,-3,Boo,No,NSMBU
21,452,3382,A,Loss,-16,Unknown,No,SMB3
21,453,3436,A,Win,54,Like,No,SMB1
21,454,3433,A,Loss,-3,Like,No,NSMBU
21,455,3431,A,Loss,-2,Unknown,No,SM3DW
21,456,3413,A,Loss,-18,Boo,No,SMW
21,457,3398,A,Loss,-15,Like,No,NSMBU
21,458,3384,A,Loss,-14,Boo,No,SMW
21,459,3435,A,Win,51,Like,Yes,SMB1
21,460,3418,A,Loss,-17,Unknown,No,SM3DW
